Name                                Stmts   Miss  Cover
-------------------------------------------------------
calkulate/__init__.py                   7      0   100%
calkulate/classes.py                   73     18    75%
calkulate/constants.py                  3      0   100%
calkulate/convert.py                   68     16    76%
calkulate/core.py                     139      6    96%
calkulate/dataset.py                  141     10    93%
calkulate/default.py                   26      0   100%
calkulate/density.py                   28      4    86%
calkulate/files.py                     69     18    74%
calkulate/interface.py                 74     12    84%
calkulate/meta.py                      18      0   100%
calkulate/plot/__init__.py             62     56    10%
calkulate/plot/misc.py                  3      1    67%
calkulate/plot/titration.py           169    142    16%
calkulate/read/__init__.py              0      0   100%
calkulate/read/metadata.py             49      7    86%
calkulate/read/titrations.py           60      4    93%
calkulate/settings.py                   1      0   100%
calkulate/simulate.py                 100      9    91%
tests/__init__.py                       0      0   100%
tests/test_SOP3b.py                    16      0   100%
tests/test_convert.py                  22      0   100%
tests/test_core.py                     29      0   100%
tests/test_dataset_io.py               14      0   100%
tests/test_dbs_calk.py                 41      0   100%
tests/test_density.py                  13      0   100%
tests/test_io.py                       13      0   100%
tests/test_irlon.py                     5      0   100%
tests/test_js_geomar.py                13      0   100%
tests/test_misc.py                      7      0   100%
tests/test_oberlin.py                   6      0   100%
tests/test_seao2_opt1.py               12      0   100%
tests/test_seao2_opt2.py               12      0   100%
tests/test_simulate.py                 24      0   100%
tests/test_simulate_pH_scales.py       41      0   100%
tests/test_simulate_then_solve.py      69      0   100%
tests/test_ts_tiamo.py                 55      0   100%
tests/test_ts_tiamo_ds.py              17      0   100%
tests/test_ts_vindta.py                 9      0   100%
-------------------------------------------------------
TOTAL                                1508    303    80%
